_date,total_clones,unique_clones
2023-08-07,1,1
2023-08-08,12,6
2023-08-09,6,5
2023-08-11,11,6
2023-08-12,7,3
2023-08-14,1,1
2023-08-15,10,5
2023-08-16,1,1
2023-08-18,3,2
2023-08-21,3,2
2023-08-22,9,4
2023-08-23,19,7
2023-08-24,5,3
2023-08-27,4,2
